FIPS,STATE,NAME,ID,VERSION,START_DATE,END_DATE,CREATION_OR_CHANGE,CITATION,START_N,END_N,DATASET
48329,TX,MIDLAND,txs_midland,,03 02 1909 0:00:00,,"ANDREWS detached from MARTIN, attached to MIDLAND ""for judicial and all other purposes.""","(Texas Laws 1909, 31st leg., reg. sess., ch. 8, sec.",19090203,,TX_AtlasHCB
,TX,Non-County Area 10,txs_nca10,1,18 04 1846 0:00:00,21 04 1846 0:00:00,Non-County Area 10 created from NACOGDOCHES.,"(Texas Laws 1846, 1st leg./p. 93)",18460418,18460421,TX_AtlasHCB
,TX,Non-County Area 11,txs_nca11,1,18 04 1846 0:00:00,26 04 1846 0:00:00,Non-County Area 11 created from NACOGDOCHES.,"(Texas Laws 1846, 1st leg./p. 93)",18460418,18460426,TX_AtlasHCB
,TX,Non-County Area 11,txs_nca11,2,27 04 1846 0:00:00,10 05 1846 0:00:00,Non-County Area 11 lost to creation of HENDERSON and UPSHUR.,"(Texas Laws 1846, 1st leg./pp. 139, 141)",18460427,18460510,TX_AtlasHCB
,TX,Non-County Area 12,txs_nca12,1,12 05 1846 0:00:00,30 12 1899 0:00:00,Non-County Area 12 inadvertently created north of the Brazos River when MILAM gained from BEXAR.,"(Texas Laws 1846, 1st leg./p. 259)",18460512,18991230,TX_AtlasHCB
,TX,Non-County Area 13,txs_nca13,,20 03 1848 0:00:00,,Non-County Area 13 eliminated when it lost all territory to creation of COOKE.,"(Texas Laws 1847, 2d leg., ch. 130/p. 183)",18480320,,TX_AtlasHCB
,TX,Non-County Area 15,txs_nca15,,20 03 1848 0:00:00,,Non-County Area 15 eliminated when it lost all territory to creation of VAN ZANDT.,"(Texas Laws 1847, 2d leg., ch. 119/p. 149)",18480320,,TX_AtlasHCB
,TX,Non-County Area 13,txs_nca13,1,12 01 1848 0:00:00,19 03 1848 0:00:00,Non-County Area 13 created from GRAYSON.,"(Texas Laws 1847, 2d leg., ch. 11/p. 9)",18480112,18480319,TX_AtlasHCB
,TX,Non-County Area 15,txs_nca15,1,14 03 1848 0:00:00,19 03 1848 0:00:00,Non-County Area 15 created from HENDERSON when HENDERSON boundaries were redefined.,"(Texas Laws 1847, 2d leg., ch. 83/pp. 86-88)",18480314,18480319,TX_AtlasHCB
,TX,Overlap Area 1,txs_overlap1,,12 01 1848 0:00:00,,Overlap Area 1 eliminated when GRAYSON boundaries redefined and control of the area was assigned to COLLIN and DENTON.,"(Texas Laws 1847, 2d leg., ch. 11/p. 9)",18480112,,TX_AtlasHCB
,TX,Non-County Area 16,txs_nca16,1,31 12 1849 0:00:00,02 01 1850 0:00:00,"Non-County Area 16 created from SANTA FE (extinct) in anticipation of the creation of EL PASO, PRESIDIO, and WORTH (extinct) on 3 January 1850.","(Texas Laws 1849, 3d leg., reg. sess., ch. 24/p. 21)",18491231,18500102,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,5,25 01 1856 0:00:00,31 01 1856 0:00:00,Non-County Area 17 attached to CORYELL lost to creation of COMANCHE and ERATH.,"(Texas Laws 1855, 6th leg., reg. sess., chs. 34-35/p. 27)",18560125,18560131,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,6,01 02 1856 0:00:00,25 08 1856 0:00:00,Non-County Area 17 attached to CORYELL lost to creation of LAMPASAS.,"(Texas Laws 1855, 6th leg., reg. sess., ch. 44/p. 41)",18560201,18560825,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,7,26 08 1856 0:00:00,26 08 1856 0:00:00,Non-County Area 17 attached to CORYELL lost to COMANCHE.,"(Texas Laws 1856, 6th leg., adj. sess., ch. 126/p. 55)",18560826,18560826,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,8,27 08 1856 0:00:00,31 08 1856 0:00:00,Non-County Area 17 attached to CORYELL lost to creation of BROWN and PALO PINTO.,"(Texas Laws 1856, 6th leg., adj. sess., chs. 138-139/pp. 65-66)",18560827,18560831,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,9,01 09 1856 0:00:00,19 01 1858 0:00:00,Non-County Area 17 attached to CORYELL lost to ERATH.,"(Texas Laws 1856, 6th leg., adj. sess., ch. 172/p. 96)",18560901,18580119,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,10,20 01 1858 0:00:00,31 01 1858 0:00:00,Non-County Area 17 attached to CORYELL lost to COMANCHE.,"(Texas Laws 1857, 7th leg., ch. 49/p. 54)",18580120,18580131,TX_AtlasHCB
,TX,Non-County Area 12,txs_nca12,,19 08 1856 0:00:00,,Non-County Area 12 eliminated when it lost all territory to creation of Young Territory and to YOUNG.,"(Texas Laws 1856, 6th leg., adj. sess., ch. 110/p. 41)",18560819,,TX_AtlasHCB
,TX,Fannin Land District,txs_fanninld,,13 02 1854 0:00:00,,Fannin Land District lost all territory to Cooke Land District and Denton Land District when those districts were reorganized and expanded.,"(Texas Laws 1853, 5th leg., ch. 72/p. 100)",18540213,,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,11,01 02 1858 0:00:00,04 02 1858 0:00:00,Non-County Area 17 lost to creation of EASTLAND and CALAHAN .,"(Texas Laws 1857, 7th leg., ch. 75, secs. 10, 13/pp. 88-89)",18580201,18580204,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,1,22 01 1850 0:00:00,04 02 1852 0:00:00,Non-County Area 17 created from MILAM; attached to BELL for administrative and judicial purposes.,"(Texas Laws 1849, 3d leg., reg. sess., ch. 55/pp. 63-65)",18500122,18520204,TX_AtlasHCB
48021,TX,MINA (see BASTROP),txs_bastrop,,,,,,,,TX_AtlasHCB
48039,TX,COLUMBIA (see BRAZORIA),txs_brazoria,,,,,,,,TX_AtlasHCB
48041,TX,NAVASOTO (see BRAZOS),txs_brazos,,,,,,,,TX_AtlasHCB
48067,TX,DAVIS (see CASS),txs_cass,,,,,,,,TX_AtlasHCB
48175,TX,LA BAHIA DEL ESPIRITU SANTO (see GOLIAD),txs_goliad,,,,,,,,TX_AtlasHCB
48201,TX,HARRISBURG (see HARRIS),txs_harris,,,,,,,,TX_AtlasHCB
48241,TX,BEVIL (see JASPER),txs_jasper,,,,,,,,TX_AtlasHCB
48331,TX,VIESCA (see MILAM),txs_milam,,,,,,,,TX_AtlasHCB
48419,TX,TENEHAW (see SHELBY),txs_shelby,,,,,,,,TX_AtlasHCB
48429,TX,BUCHANAN (see STEPHENS),txs_stephens,,,,,,,,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,2,05 02 1852 0:00:00,06 02 1853 0:00:00,Non-County Area 17 attached to BELL lost to creation of BURNET.,"(Texas Laws 1851, 4th leg., reg. sess., ch. 60/p. 49)",18520205,18530206,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,3,07 02 1853 0:00:00,03 02 1854 0:00:00,Non-County Area 17 attached to BELL lost to WILLIAMSON.,"(Texas Laws 1853, 4th leg., 2d sess., ch. 41/p. 53)",18530207,18540203,TX_AtlasHCB
,TX,Non-County Area 24,txs_nca24,,22 01 1858 0:00:00,,Non-County Area 24 eliminated when it lost all territory to creation of HAMILTON.,"(Texas Laws 1857, 7th leg., ch. 55, sec. 9/pp. 60-61 and ch. 56/p. 63)",18580122,,TX_AtlasHCB
,TX,Non-County Area 22,txs_nca22,,01 02 1858 0:00:00,,"Non-County Area 22 attached to BOSQUE eliminated when it lost all territory to creation of CALLAHAN, EASTLAND, SHACKELFORD, and TAYLOR.","(Texas Laws 1857, 7th leg., ch. 75, secs. 5, 10, 13, 15/pp. 87-90)",18580201,,TX_AtlasHCB
,TX,Non-County Area 17,txs_nca17,4,04 02 1854 0:00:00,24 01 1856 0:00:00,"Non-County Area 17 lost to creation of CORYELL. Non-County area 17 detached from BELL, attached to CORYELL for all county and general purposes.","(Texas Laws 1853, 5th leg., ch. 36/pp. 45-47)",18540204,18560124,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,15,30 10 1931 0:00:00,31 12 2000 0:00:00,"AUSTIN lost to FORT BEND, settling boundary dispute dating from 24 March 1846.","(""Austin County v. Fort Bend County,"" Agreed Judgment in Cause #6545, Washington County District Court in ""Austin County Boundary File 5,"" Texas General Land Office, Austin)",19311030,20001231,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,4,18 07 1835 0:00:00,31 12 1835 0:00:00,AUSTIN lost to creation of WASHINGTON [estimated line on north].,"(""Documents Relating to the OrganizationÖ,"" 99; Partlow, inside front cover, 326)",18350718,18351231,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,5,01 01 1836 0:00:00,15 01 1836 0:00:00,AUSTIN lost to creation of HARRISBURG (now HARRIS) [estimated line on north].,"(Gammel, 1:Ordinances and Decrees, Provisional Govt. Texas, 119)",18360101,18360115,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,3,30 04 1834 0:00:00,17 07 1835 0:00:00,[April 1834] AUSTIN lost to creation of MINA (now BASTROP).,"(Gammel, 1:Laws and Decrees of Coahuila and Texas, decree no. 283/p. 384)",18340430,18350717,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,7,14 12 1837 0:00:00,28 12 1837 0:00:00,Boundary between AUSTIN and WASHINGTON defined; AUSTIN lost small area to creation of MONTGOMERY.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 33, 49)",18371214,18371228,TX_AtlasHCB
48291,TX,LIBERTY,txs_liberty,4,01 01 1836 0:00:00,13 12 1837 0:00:00,LIBERTY lost to creation of HARRISBURG (now HARRIS).,"(Gammel, 1:Ordinances and Decrees, Provisional Govt. Texas, 119)",18360101,18371213,TX_AtlasHCB
48241,TX,JASPER,txs_jasper,3,09 12 1835 0:00:00,14 12 1835 0:00:00,JASPER lost to creation of JEFFERSON.,"(Gammel, 1:Ordinances and Decrees, Provisional Govt. Texas, 51; Connor, 177-178)",18351209,18351214,TX_AtlasHCB
48291,TX,LIBERTY,txs_liberty,2,01 01 1834 0:00:00,17 07 1835 0:00:00,[1834] LIBERTY lost to creation of BEVIL (now JASPER).,"(""Bevil, John,"" New Handbook of Texas, 1:514)",18340101,18350717,TX_AtlasHCB
48291,TX,LIBERTY,txs_liberty,3,18 07 1835 0:00:00,31 12 1835 0:00:00,LIBERTY lost to creation of WASHINGTON.,"(""Documents Relating to the OrganizationÖ,"" 99; Partlow, inside front cover, 326)",18350718,18351231,TX_AtlasHCB
48237,TX,JACK,txs_jack,,24 12 1857 0:00:00,28 02 1895 0:00:00,Boundary between JACK and CLAY became subject to dispute upon creation of CLAY [dispute settled March 1895].,"(Texas Laws 1857, 7th leg., ch. 34/p. 33)",18571224,18950228,TX_AtlasHCB
48291,TX,LIBERTY,txs_liberty,5,14 12 1837 0:00:00,17 12 1837 0:00:00,LIBERTY lost to creation of MONTGOMERY.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 33)",18371214,18371217,TX_AtlasHCB
48491,TX,WILLIAMSON,txs_williamson,4,28 07 1856 0:00:00,31 12 2000 0:00:00,WILLIAMSON exchanged small areas with BASTROP.,"(Texas Laws 1856, 6th leg., adj. sess., ch. 88/p. 7)",18560728,20001231,TX_AtlasHCB
48503,TX,YOUNG,txs_young,,01 01 1865 0:00:00,,"[by 1865; possibly by 1861-1862] YOUNG disorganized, ending attachment of ARCHER, BAYLOR, HASKELL, KNOX, and THROCKMORTON to YOUNG.","(""Young County,"" New Handbook of Texas, 6:1131; ""Kimmarle & Hirsh v. Houston & Texas Central Railway,"" in Texas Rpts., 76:690-691)",18650101,,TX_AtlasHCB
,TX,Bexar Land District,txs_bexarld,,05 10 1866 0:00:00,,"Non-county area in Bexar Land District was attached to KINNEY ""for judicial and other purposes.""","(Texas Laws 1866, 11th leg., ch. 28/p. 21)",18661005,,TX_AtlasHCB
48201,TX,HARRISBURG,txs_harris,3,14 12 1837 0:00:00,17 12 1837 0:00:00,HARRISBURG (now HARRIS) gained from WASHINGTON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 49)",18371214,18371217,TX_AtlasHCB
48241,TX,JASPER,txs_jasper,4,15 12 1835 0:00:00,13 12 1837 0:00:00,JASPER gained from SAN AUGUSTINE.,"(Gammel, 1:Ordinances and Decrees, Provisional Govt. Texas, 89)",18351215,18371213,TX_AtlasHCB
48347,TX,NACOGDOCHES,txs_nacogdoches,,31 01 1831 0:00:00,,"NACOGDOCHES defined, overlap with LAYFETTE (Ark.) and MILLER (Ark. Terr. extinct) continued.","(Gammel, 1:Laws and Decrees of Coahuila and Texas, decree no. 164/p. 171)",18310131,,TX_AtlasHCB
48347,TX,NACOGDOCHES,txs_nacogdoches,2,05 05 1831 0:00:00,05 03 1834 0:00:00,NACOGDOCHES lost to creation of LIBERTY.,"(Partlow, inside front cover, 79-81, 325)",18310505,18340305,TX_AtlasHCB
48347,TX,NACOGDOCHES,txs_nacogdoches,3,06 03 1834 0:00:00,10 11 1835 0:00:00,NACOGDOCHES lost to creation of SAN AUGUSTINE.,"(Gammel, 1:Laws and Decrees of Coahuila and Texas, decree no. 265/p. 352)",18340306,18351110,TX_AtlasHCB
48331,TX,VIESCA,txs_milam,1,31 10 1834 0:00:00,26 12 1835 0:00:00,"[October 1834] VIESCA (now MILAM, original county) established as a municipality by Mexico.","(McLean, 3:300; 9:31-32, 39)",18341031,18351226,TX_AtlasHCB
48391,TX,REFUGIO,txs_refugio,1,01 07 1834 0:00:00,01 12 1841 0:00:00,REFUGIO (original county) established as a municipality by Mexico.,"(Huson, 1:1, 200; Henderson, 32:10)",18340701,18411201,TX_AtlasHCB
48039,TX,COLUMBIA,txs_brazoria,3,30 04 1834 0:00:00,11 11 1835 0:00:00,[April 1834] BRAZORIA renamed COLUMBIA.,"(Gammel, 1:Laws and Decrees of Coahuila and Texas, decree no. 283/p. 385)",18340430,18351111,TX_AtlasHCB
48039,TX,BRAZORIA,txs_brazoria,4,12 11 1835 0:00:00,27 12 1835 0:00:00,COLUMBIA renamed BRAZORIA.,"(Gammel, 1:Journals of the Consultation, 31)",18351112,18351227,TX_AtlasHCB
48241,TX,JASPER,txs_jasper,2,03 12 1835 0:00:00,08 12 1835 0:00:00,BEVIL renamed JASPER.,"(Gammel, 1:Proceedings of the Gen. Council, 65, 68)",18351203,18351208,TX_AtlasHCB
48175,TX,GOLIAD,txs_goliad,2,04 02 1829 0:00:00,01 12 1841 0:00:00,LA BAHIA DEL ESPIRITU SANTO renamed GOLIAD.,"(Gammel, 1:Laws and Decrees of Coahuila and Texas, decree no. 73/p. 222)",18290204,18411201,TX_AtlasHCB
48409,TX,SAN PATRICIO,txs_sanpatricio,3,02 12 1841 0:00:00,17 04 1846 0:00:00,SAN PATRICIO exchanged with GOLIAD.,"(Texas Repub. Laws 1841, 6th cong., 1st sess./p. 6)",18411202,18460417,TX_AtlasHCB
48419,TX,SHELBY,txs_shelby,3,14 12 1837 0:00:00,24 01 1839 0:00:00,SHELBY boundaries defined; SHELBY exchanged with SABINE.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 48)",18371214,18390124,TX_AtlasHCB
48339,TX,MONTGOMERY,txs_montgomery,1,14 12 1837 0:00:00,24 01 1840 0:00:00,"MONTGOMERY created by the Republic of Texas from LIBERTY, WASHINGTON, and a small part of AUSTIN; MONTGOMERY fully organized.","(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 33)",18371214,18400124,TX_AtlasHCB
48021,TX,BASTROP,txs_bastrop,4,18 12 1837 0:00:00,24 01 1840 0:00:00,"MINA renamed BASTROP; BASTROP exchanged with BEXAR, part of BASTROP reverted to Non-County Area 3.","(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 90-91)",18371218,18400124,TX_AtlasHCB
48089,TX,COLORADO,txs_colorado,2,14 12 1837 0:00:00,28 12 1837 0:00:00,COLORADO lost to creation of FAYETTE.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 35-36)",18371214,18371228,TX_AtlasHCB
,TX,Non-County Area 23,txs_nca23,,01 02 1858 0:00:00,,Non-County Area 23 eliminated when it lost all territory to creation of McMULLEN and LA SALLE.,"(Texas Laws 1857, 7th leg., ch. 75, secs. 7, 22/p. 88, 91)",18580201,,TX_AtlasHCB
48149,TX,FAYETTE,txs_fayette,1,14 12 1837 0:00:00,02 05 1838 0:00:00,FAYETTE created by the Republic of Texas from COLORADO and MINA (now BASTROP); FAYETTE not fully organized.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 35-36)",18371214,18380502,TX_AtlasHCB
48405,TX,SAN AUGUSTINE,txs_sanaugustine,4,14 12 1837 0:00:00,31 12 2000 0:00:00,SAN AUGUSTINE boundaries defined; SAN AUGUSTINE gained from SABINE.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 52)",18371214,20001231,TX_AtlasHCB
48147,TX,FANNIN,txs_fannin,1,14 12 1837 0:00:00,27 11 1839 0:00:00,FANNIN created by the Republic of Texas from NACOGDOCHES; FANNIN not fully organized.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 53)",18371214,18391127,TX_AtlasHCB
48241,TX,JASPER,txs_jasper,5,14 12 1837 0:00:00,20 12 1837 0:00:00,JASPER boundaries defined; JASPER gained from SABINE.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 55)",18371214,18371220,TX_AtlasHCB
48241,TX,JASPER,txs_jasper,6,21 12 1837 0:00:00,28 01 1842 0:00:00,JASPER gained from JEFFERSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 110)",18371221,18420128,TX_AtlasHCB
48157,TX,FORT BEND,txs_fortbend,1,29 12 1837 0:00:00,04 02 1840 0:00:00,"FORT BEND created by the Republic of Texas from AUSTIN, BRAZORIA, and HARRISBURG (now HARRIS); FORT BEND not fully organized.","(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 118)",18371229,18400204,TX_AtlasHCB
48089,TX,COLORADO,txs_colorado,3,29 12 1837 0:00:00,18 01 1841 0:00:00,COLORADO gained from JACKSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 121)",18371229,18410118,TX_AtlasHCB
48239,TX,JACKSON,txs_jackson,2,29 12 1837 0:00:00,18 01 1841 0:00:00,"JACKSON gained from MATAGORDA and VICTORIA, lost to COLORADO.","(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 121 and Texas Repub. Laws 1839, 4th cong./p. 249)",18371229,18410118,TX_AtlasHCB
48021,TX,MINA,txs_bastrop,3,14 12 1837 0:00:00,17 12 1837 0:00:00,MINA (now BASTROP) lost to creation of FAYETTE.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 35-36)",18371214,18371217,TX_AtlasHCB
48469,TX,VICTORIA,txs_victoria,3,29 12 1837 0:00:00,28 01 1842 0:00:00,VICTORIA lost to JACKSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 121 and Texas Repub. Laws 1839, 4th cong./p. 249)",18371229,18420128,TX_AtlasHCB
48469,TX,VICTORIA,txs_victoria,2,14 12 1837 0:00:00,28 12 1837 0:00:00,VICTORIA gained from GONZALES when GONZALES boundaries were defined.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 42)",18371214,18371228,TX_AtlasHCB
48231,TX,HUNT,txs_hunt,,13 07 1846 0:00:00,,HUNT fully organized.,"(Ingmire, 1:16)",18460713,,TX_AtlasHCB
48177,TX,GONZALES,txs_gonzales,2,14 12 1837 0:00:00,23 05 1838 0:00:00,GONZALES boundaries defined; lost to VICTORIA.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 42)",18371214,18380523,TX_AtlasHCB
48405,TX,SAN AUGUSTINE,txs_sanaugustine,2,11 11 1835 0:00:00,14 12 1835 0:00:00,SAN AUGUSTINE lost to creation of TENEHAW (now SHELBY).,"(Gammel, 1:Journals of the Consultation, 28)",18351111,18351214,TX_AtlasHCB
,TX,WEGEFARTH (extinct),txs_wegefarth,,19 11 1876 0:00:00,,"WEGEFARTH (extinct) lost all territory to creation of BRISCOE, CHILDRESS, COLLINGSWORTH, DONLEY, GRAY, HALL, and WHEELER; WEGEFARTH eliminated.","(Texas Laws 1876, 15th leg., ch. 144/pp. 235-237)",18761119,,TX_AtlasHCB
48477,TX,WASHINGTON,txs_washington,2,14 12 1837 0:00:00,23 05 1838 0:00:00,"WASHINGTON boundaries defined; lost to creation of MONTGOMERY and Non-County Area 1, lost to HARRISBURG (now HARRIS), line between WASHINGTON and AUSTIN was established.","(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 33, 49)",18371214,18380523,TX_AtlasHCB
48331,TX,MILAM,txs_milam,3,14 12 1837 0:00:00,03 02 1840 0:00:00,MILAM lost to creation of ROBERTSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 56)",18371214,18400203,TX_AtlasHCB
48029,TX,BEXAR,txs_bexar,3,18 12 1837 0:00:00,23 05 1838 0:00:00,BEXAR exchanged with BASTROP.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 91)",18371218,18380523,TX_AtlasHCB
48201,TX,HARRISBURG,txs_harris,4,18 12 1837 0:00:00,28 12 1837 0:00:00,HARRISBURG (now HARRIS) lost to LIBERTY.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 84)",18371218,18371228,TX_AtlasHCB
48201,TX,HARRISBURG,txs_harris,5,29 12 1837 0:00:00,14 05 1838 0:00:00,HARRISBURG (now HARRIS) lost to creation of FORT BEND.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 118)",18371229,18380514,TX_AtlasHCB
,TX,Non-County Area 2,txs_nca2,,21 12 1837 0:00:00,,Non-County Area 2 eliminated when it lost all territory to JEFFERSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 110)",18371221,,TX_AtlasHCB
48395,TX,ROBERTSON,txs_robertson,1,14 12 1837 0:00:00,27 11 1839 0:00:00,"ROBERTSON created by the Republic of Texas from BEXAR, MILAM and NACOGDOCHES; ROBERTSON not fully organized.","(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 56)",18371214,18391127,TX_AtlasHCB
48245,TX,JEFFERSON,txs_jefferson,2,21 12 1837 0:00:00,19 01 1841 0:00:00,"JEFFERSON gained all of Non-County Area 2, lost to JASPER; Non-County Area 2 eliminated.","(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 110)",18371221,18410119,TX_AtlasHCB
48015,TX,AUSTIN,txs_austin,8,29 12 1837 0:00:00,23 05 1838 0:00:00,AUSTIN lost to creation of FORT BEND.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 118)",18371229,18380523,TX_AtlasHCB
48039,TX,BRAZORIA,txs_brazoria,6,29 12 1837 0:00:00,14 05 1838 0:00:00,BRAZORIA lost to creation of FORT BEND.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 118)",18371229,18380514,TX_AtlasHCB
48321,TX,MATAGORDA,txs_matagorda,4,29 12 1837 0:00:00,18 01 1841 0:00:00,MATAGORDA lost to JACKSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 121)",18371229,18410118,TX_AtlasHCB
48403,TX,SABINE,txs_sabine,2,14 12 1837 0:00:00,31 12 2000 0:00:00,"SABINE exchanged with SHELBY, lost to JASPER and SAN AUGUSTINE.","(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 48-49, 52, 55)",18371214,20001231,TX_AtlasHCB
48347,TX,NACOGDOCHES,txs_nacogdoches,6,14 12 1837 0:00:00,27 11 1839 0:00:00,NACOGDOCHES lost to creation of FANNIN and ROBERTSON.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./pp. 48, 52-53, 56, 89)",18371214,18391127,TX_AtlasHCB
48387,TX,RED RIVER,txs_redriver,2,17 12 1840 0:00:00,27 01 1841 0:00:00,RED RIVER lost to creation of BOWIE and LAMAR.,"(Texas Repub. Laws 1840, 5th cong./p. 97)",18401217,18410127,TX_AtlasHCB
48277,TX,LAMAR,txs_lamar,1,17 12 1840 0:00:00,27 01 1841 0:00:00,LAMAR created by the Republic of Texas from RED RIVER; LAMAR not fully organized.,"(Texas Repub. Laws 1840, 5th cong./p. 97)",18401217,18410127,TX_AtlasHCB
48321,TX,MATAGORDA,txs_matagorda,5,19 01 1841 0:00:00,26 06 1842 0:00:00,MATAGORDA lost to creation of WARD (Judicial County).,"(Texas Repub. Laws 1840, 5th cong./p. 65)",18410119,18420626,TX_AtlasHCB
,TX,SPRING CREEK (Jud. Co.),txs_springcreekjc,1,21 01 1841 0:00:00,26 06 1842 0:00:00,SPRING CREEK (Judicial County) created by the Republic of Texas from HARRIS and MONTGOMERY.,"(Texas Repub. Laws 1840, 5th cong./p. 49)",18410121,18420626,TX_AtlasHCB
